match_id,tier,source,participant_id,is_dj,win,team_id,position,champion,duration_min,reached_20,reached_30,gold_lead_15,deaths_total,deaths_pm,d_0_10,rate_0_10,d_10_20,rate_10_20,d_20_30,rate_20_30,d_30_p,rate_30_p,share_early,share_20p,share_30p,d_mid,solo_w15,solo_mid_w15,solo_share_w15,solo_pm_w15,solo_mid_pm_w15,solo_w30,solo_mid_w30,solo_share_w30,solo_pm_w30,solo_mid_pm_w30,solo_w45,solo_mid_w45,solo_share_w45,solo_pm_w45,solo_mid_pm_w45,c_deaths_total,c_deaths_pm,c_d_0_10,c_rate_0_10,c_d_10_20,c_rate_10_20,c_d_20_30,c_rate_20_30,c_d_30_p,c_rate_30_p,c_share_early,c_share_20p,c_share_30p,c_d_mid,c_solo_w15,c_solo_mid_w15,c_solo_share_w15,c_solo_pm_w15,c_solo_mid_pm_w15,c_solo_w30,c_solo_mid_w30,c_solo_share_w30,c_solo_pm_w30,c_solo_mid_pm_w30,c_solo_w45,c_solo_mid_w45,c_solo_share_w45,c_solo_pm_w45,c_solo_mid_pm_w45
NA1_5596489522,IRON,cohort,10,0,0,200,UTILITY,Blitzcrank,30.167,1,1,-545,9,0.2983425414364641,1,0.1,3,0.3,5,0.5,0,0.0,0.1111111111111111,0.5555555555555556,0.0,5,2,1,0.2222222222222222,0.06629834254143646,0.09090909090909091,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0.26519337016574585,1,0.1,3,0.3,4,0.4,0,0.0,0.125,0.5,0.0,5,1,1,0.125,0.03314917127071823,0.09090909090909091,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
NA1_5596521977,IRON,cohort,1,0,0,100,TOP,Kayle,39.017,1,1,1314,11,0.28193079880392996,0,0.0,3,0.3,4,0.4,4,0.44362292051756014,0.0,0.7272727272727273,0.36363636363636365,4,1,1,0.09090909090909091,0.025630072618539085,0.09090909090909091,1,1,0.09090909090909091,0.025630072618539085,0.09090909090909091,1,1,0.09090909090909091,0.025630072618539085,0.09090909090909091,10,0.25630072618539085,0,0.0,3,0.3,4,0.4,3,0.3327171903881701,0.0,0.7,0.3,4,1,1,0.1,0.025630072618539085,0.09090909090909091,1,1,0.1,0.025630072618539085,0.09090909090909091,1,1,0.1,0.025630072618539085,0.09090909090909091
NA1_5596521977,IRON,cohort,2,0,0,100,JUNGLE,Briar,39.017,1,1,1314,9,0.2306706535668518,1,0.1,2,0.2,3,0.3,3,0.3327171903881701,0.1111111111111111,0.6666666666666666,0.3333333333333333,3,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0.20504058094831268,1,0.1,2,0.2,3,0.3,2,0.22181146025878007,0.125,0.625,0.25,3,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
NA1_5596521977,IRON,cohort,3,0,0,100,MIDDLE,Naafiri,39.017,1,1,1314,16,0.41008116189662536,4,0.4,5,0.5,3,0.3,4,0.44362292051756014,0.25,0.4375,0.25,4,8,1,0.5,0.20504058094831268,0.09090909090909091,5,1,0.3125,0.12815036309269542,0.09090909090909091,4,0,0.25,0.10252029047415634,0.0,15,0.3844510892780863,4,0.4,5,0.5,3,0.3,3,0.3327171903881701,0.26666666666666666,0.4,0.2,4,8,1,0.5333333333333333,0.20504058094831268,0.09090909090909091,5,1,0.3333333333333333,0.12815036309269542,0.09090909090909091,4,0,0.26666666666666666,0.10252029047415634,0.0
NA1_5596521977,IRON,cohort,4,0,0,100,BOTTOM,Tristana,39.017,1,1,1314,10,0.25630072618539085,0,0.0,3,0.3,2,0.2,5,0.5545286506469501,0.0,0.7,0.5,2,1,0,0.1,0.025630072618539085,0.0,1,0,0.1,0.025630072618539085,0.0,1,0,0.1,0.025630072618539085,0.0,9,0.2306706535668518,0,0.0,3,0.3,2,0.2,4,0.44362292051756014,0.0,0.6666666666666666,0.4444444444444444,2,1,0,0.1111111111111111,0.025630072618539085,0.0,1,0,0.1111111111111111,0.025630072618539085,0.0,1,0,0.1111111111111111,0.025630072618539085,0.0
NA1_5596521977,IRON,cohort,5,0,0,100,UTILITY,Nautilus,39.017,1,1,1314,13,0.33319094404100813,2,0.2,3,0.3,4,0.4,4,0.44362292051756014,0.15384615384615385,0.6153846153846154,0.3076923076923077,5,1,0,0.07692307692307693,0.025630072618539085,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,11,0.28193079880392996,2,0.2,3,0.3,4,0.4,2,0.22181146025878007,0.18181818181818182,0.5454545454545454,0.18181818181818182,5,1,0,0.09090909090909091,0.025630072618539085,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
NA1_5596521977,IRON,cohort,6,0,1,200,TOP,Nasus,39.017,1,1,-1314,6,0.1537804357112345,0,0.0,2,0.2,2,0.2,2,0.22181146025878007,0.0,0.6666666666666666,0.3333333333333333,2,3,1,0.5,0.07689021785561725,0.09090909090909091,3,1,0.5,0.07689021785561725,0.09090909090909091,3,1,0.5,0.07689021785561725,0.09090909090909091,6,0.1537804357112345,0,0.0,2,0.2,2,0.2,2,0.22181146025878007,0.0,0.6666666666666666,0.3333333333333333,2,3,1,0.5,0.07689021785561725,0.09090909090909091,3,1,0.5,0.07689021785561725,0.09090909090909091,3,1,0.5,0.07689021785561725,0.09090909090909091
NA1_5596521977,IRON,cohort,7,0,1,200,JUNGLE,Jax,39.017,1,1,-1314,6,0.1537804357112345,2,0.2,1,0.1,1,0.1,2,0.22181146025878007,0.3333333333333333,0.5,0.3333333333333333,2,2,0,0.3333333333333333,0.05126014523707817,0.0,1,0,0.16666666666666666,0.025630072618539085,0.0,1,0,0.16666666666666666,0.025630072618539085,0.0,5,0.12815036309269542,2,0.2,1,0.1,1,0.1,1,0.11090573012939003,0.4,0.4,0.2,2,1,0,0.2,0.025630072618539085,0.0,1,0,0.2,0.025630072618539085,0.0,1,0,0.2,0.025630072618539085,0.0
NA1_5596521977,IRON,cohort,8,0,1,200,MIDDLE,Vex,39.017,1,1,-1314,10,0.25630072618539085,0,0.0,3,0.3,4,0.4,3,0.3327171903881701,0.0,0.7,0.3,4,4,1,0.4,0.10252029047415634,0.09090909090909091,1,1,0.1,0.025630072618539085,0.09090909090909091,1,1,0.1,0.025630072618539085,0.09090909090909091,9,0.2306706535668518,0,0.0,3,0.3,4,0.4,2,0.22181146025878007,0.0,0.6666666666666666,0.2222222222222222,4,3,1,0.3333333333333333,0.07689021785561725,0.09090909090909091,1,1,0.1111111111111111,0.025630072618539085,0.09090909090909091,1,1,0.1111111111111111,0.025630072618539085,0.09090909090909091
NA1_5596521977,IRON,cohort,9,0,1,200,BOTTOM,MissFortune,39.017,1,1,-1314,7,0.1794105083297736,0,0.0,1,0.1,3,0.3,3,0.3327171903881701,0.0,0.8571428571428571,0.42857142857142855,3,2,1,0.2857142857142857,0.05126014523707817,0.09090909090909091,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,7,0.1794105083297736,0,0.0,1,0.1,3,0.3,3,0.3327171903881701,0.0,0.8571428571428571,0.42857142857142855,3,2,1,0.2857142857142857,0.05126014523707817,0.09090909090909091,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
