match_id,game_creation_utc,queue_id,game_mode,duration_s,duration_min,remake,win,champion,position,kill,death,assist,kda_ratio,cs_lane,cs_jungle,cs_total,cs_per_min,gold,dmg_to_champs,dmg_taken,vision_score,wards_placed,control_wards,level,largest_multikill,first_blood,turret_kills,game_version
NA1_5592272015,2026-06-30T16:08:22Z,420,CLASSIC,2417,40.3,False,True,Xayah,BOTTOM,23,7,7,4.29,210,0,210,5.21,20477,42649,35998,15,6,0,18,2,False,2,16.13.791.5903
NA1_5592287233,2026-06-30T17:03:46Z,420,CLASSIC,73,1.2,True,False,Xayah,BOTTOM,0,0,0,,0,0,0,0.0,517,0,0,0,0,0,1,0,False,0,16.13.791.5903
NA1_5592294542,2026-06-30T17:30:34Z,420,CLASSIC,1281,21.4,False,False,Xayah,BOTTOM,5,8,1,0.75,86,0,86,4.03,7074,11544,16601,8,4,0,10,2,False,0,16.13.791.5903
NA1_5592604888,2026-07-01T02:21:18Z,420,CLASSIC,2193,36.5,False,False,Ryze,MIDDLE,1,9,9,1.11,151,0,151,4.13,10492,16354,41585,19,8,0,17,1,False,0,16.13.791.5903
NA1_5592953063,2026-07-01T17:54:42Z,420,CLASSIC,2291,38.2,False,True,Vladimir,MIDDLE,2,6,6,1.33,212,0,212,5.55,12493,6438,30233,19,7,0,18,1,False,4,16.13.791.5903
NA1_5593012969,2026-07-01T20:10:53Z,420,CLASSIC,1306,21.8,False,False,Vladimir,MIDDLE,5,7,2,1.0,107,0,107,4.92,7785,10998,25726,0,0,0,12,2,False,0,16.13.791.5903
NA1_5593121406,2026-07-01T23:24:46Z,420,CLASSIC,2290,38.2,False,True,Syndra,MIDDLE,10,6,12,3.67,239,0,239,6.26,17192,27704,25991,6,2,0,18,1,False,0,16.13.791.5903
NA1_5593184326,2026-07-02T00:48:45Z,420,CLASSIC,1341,22.4,False,False,Syndra,MIDDLE,0,4,0,0.0,22,0,22,0.98,3855,1192,5375,1,1,0,5,0,False,0,16.13.791.5903
NA1_5593542577,2026-07-02T13:54:37Z,420,CLASSIC,1725,28.8,False,True,Syndra,MIDDLE,1,8,3,0.5,105,0,105,3.65,8032,9863,15868,13,6,0,12,1,True,0,16.13.791.5903
NA1_5593552323,2026-07-02T14:42:36Z,420,CLASSIC,2109,35.1,False,False,Nasus,TOP,13,5,3,3.2,201,1,202,5.75,15433,34765,59975,23,8,0,20,3,False,2,16.13.791.5903
NA1_5594238041,2026-07-03T14:59:46Z,420,CLASSIC,1623,27.1,False,False,Nasus,TOP,8,3,3,3.67,134,0,134,4.95,10073,22582,41095,6,3,0,17,1,False,1,16.13.791.5903
NA1_5594363412,2026-07-03T20:02:31Z,420,CLASSIC,1560,26.0,False,False,Irelia,TOP,6,5,0,1.2,235,0,235,9.04,12414,15461,23512,9,4,0,17,1,False,3,16.13.791.5903
NA1_5594471030,2026-07-03T23:08:58Z,420,CLASSIC,79,1.3,True,True,Irelia,TOP,0,0,0,,2,0,2,1.52,569,170,302,0,0,0,1,0,False,0,16.13.791.5903
NA1_5594476411,2026-07-03T23:20:49Z,420,CLASSIC,2777,46.3,False,True,Yorick,TOP,4,9,14,2.0,321,4,325,7.02,18990,37851,55888,24,9,0,20,2,False,2,16.13.791.5903
NA1_5594532165,2026-07-04T00:51:14Z,420,CLASSIC,552,9.2,False,False,Irelia,TOP,0,5,0,0.0,41,0,41,4.46,2280,3301,6349,2,1,0,6,0,False,0,16.13.791.5903
NA1_5596891161,2026-07-07T12:44:10Z,420,CLASSIC,195,3.2,False,False,Nasus,Invalid,0,1,0,0.0,0,0,0,0.0,767,342,760,0,0,0,1,0,False,0,16.13.791.5903
NA1_5596892674,2026-07-07T13:06:34Z,420,CLASSIC,1096,18.3,False,True,Nasus,TOP,1,2,0,0.5,104,0,104,5.69,5500,3455,15319,4,3,0,12,1,False,0,16.13.791.5903
